maps_played,rounds_played,kd_difference,kd_ratio,rating,total_kills,headshot_percentage,total_deaths,grenade_damage_per_round,kills_per_round,assists_per_round,deaths_per_round,teammate_saved_per_round,saved_by_teammate_per_round,kast,impact,efficiency
619,15737,708,1.07,1.03,11088,49.9,10380,3.5,0.7,0.15,0.66,0.11,0.11,71.9,1.05,1.0606060606060606
439,11583,551,1.07,1.03,8169,33.5,7618,2.9,0.71,0.1,0.66,0.09,0.1,69.9,1.07,1.0757575757575757
1438,37326,1316,1.05,1.03,26620,37.8,25304,2.9,0.71,0.14,0.68,0.11,0.1,70.8,1.11,1.0441176470588234
758,19824,1181,1.1,1.03,13320,31.0,12139,2.3,0.67,0.11,0.61,0.08,0.09,70.6,1.06,1.098360655737705
576,15684,412,1.04,1.03,11046,55.0,10634,5.1,0.7,0.13,0.68,0.09,0.09,69.4,1.09,1.0294117647058822
768,20107,640,1.05,1.03,14386,54.5,13746,3.4,0.72,0.15,0.68,0.1,0.1,71.1,1.14,1.0588235294117645
1323,34821,1298,1.06,1.03,24506,49.5,23208,3.9,0.7,0.14,0.67,0.1,0.1,70.7,1.1,1.044776119402985
382,10184,684,1.11,1.03,6850,31.8,6166,4.5,0.67,0.1,0.61,0.07,0.09,70.3,1.03,1.098360655737705
480,12325,429,1.05,1.03,8697,62.1,8268,3.6,0.71,0.14,0.67,0.1,0.11,70.8,1.03,1.0597014925373134
793,20961,926,1.07,1.03,14395,52.6,13469,3.9,0.69,0.13,0.64,0.1,0.11,72.3,1.04,1.078125
855,22511,826,1.06,1.03,15585,55.3,14759,5.4,0.69,0.13,0.66,0.09,0.11,71.8,1.03,1.0454545454545454
1144,29584,928,1.05,1.03,20847,46.0,19919,3.2,0.7,0.14,0.67,0.1,0.1,70.8,1.12,1.044776119402985
623,16275,375,1.03,1.03,11748,48.4,11373,5.2,0.72,0.15,0.7,0.09,0.09,69.3,1.19,1.0285714285714287
482,12848,405,1.05,1.03,9024,54.7,8619,4.3,0.7,0.14,0.67,0.1,0.08,71.2,1.14,1.044776119402985
418,10732,384,1.05,1.03,7530,34.8,7146,3.7,0.7,0.11,0.67,0.08,0.09,68.4,1.16,1.044776119402985
538,14230,608,1.06,1.03,9999,45.8,9391,4.1,0.7,0.14,0.66,0.11,0.1,71.6,1.09,1.0606060606060606
753,19812,268,1.02,1.03,14492,45.7,14224,2.3,0.73,0.14,0.72,0.1,0.09,68.3,1.19,1.0138888888888888
377,9748,294,1.04,1.03,6994,46.5,6700,4.4,0.72,0.14,0.69,0.1,0.1,70.5,1.13,1.0434782608695652
547,14003,650,1.07,1.03,9755,34.6,9105,4.9,0.7,0.13,0.65,0.09,0.09,70.1,1.15,1.0769230769230769
548,14421,344,1.03,1.03,10494,40.5,10150,2.7,0.73,0.13,0.7,0.09,0.1,68.9,1.11,1.042857142857143
1265,33492,1417,1.06,1.03,23291,45.8,21874,4.5,0.7,0.14,0.65,0.09,0.11,71.3,1.07,1.0769230769230769
1203,32043,1945,1.1,1.03,21475,30.2,19530,4.3,0.67,0.12,0.61,0.09,0.09,71.5,1.04,1.098360655737705
387,10504,443,1.06,1.03,7353,50.7,6910,3.1,0.7,0.11,0.66,0.1,0.1,70.7,1.06,1.0606060606060606
1050,27577,1070,1.06,1.03,19778,47.9,18708,4.3,0.72,0.15,0.68,0.1,0.1,69.9,1.05,1.0588235294117645
549,14256,582,1.06,1.03,9988,34.2,9406,2.7,0.7,0.1,0.66,0.09,0.1,69.9,1.04,1.0606060606060606
694,18045,592,1.05,1.03,12635,37.8,12043,3.2,0.7,0.11,0.67,0.1,0.1,69.6,1.11,1.044776119402985
635,16721,506,1.04,1.03,11835,46.9,11329,4.3,0.71,0.15,0.68,0.11,0.12,71.7,1.08,1.0441176470588234
814,20980,617,1.04,1.03,14956,40.2,14339,2.5,0.71,0.12,0.68,0.1,0.1,70.0,1.09,1.0441176470588234
447,12013,620,1.08,1.03,8129,28.9,7509,2.5,0.68,0.1,0.63,0.08,0.08,70.5,1.01,1.0793650793650795
476,12789,637,1.08,1.03,8718,55.3,8081,4.7,0.68,0.12,0.63,0.09,0.09,71.2,1.01,1.0793650793650795
1569,41489,857,1.03,1.03,29498,56.2,28641,3.5,0.71,0.15,0.69,0.1,0.09,69.9,1.16,1.028985507246377
921,24470,849,1.05,1.03,17428,41.5,16579,5.5,0.71,0.17,0.68,0.11,0.11,72.8,1.1,1.0441176470588234
1349,35834,1458,1.06,1.03,24872,46.5,23414,4.0,0.69,0.14,0.65,0.1,0.12,71.6,1.06,1.0615384615384613
433,11725,380,1.05,1.03,8165,32.9,7785,2.3,0.7,0.09,0.66,0.09,0.09,68.5,1.1,1.0606060606060606
